conv_id,original_labels,top_3_emotions_responses,top_1_emotion_responses,position_of_original_label
hit:7225_conv:14450,disgusted,"['disgusted', 'annoyed', 'sad']",disgusted,1.0
hit:7561_conv:15122,surprised,"['anxious', 'surprised', 'afraid']",anxious,2.0
hit:10185_conv:20371,sentimental,"['content', 'proud', 'hopeful']",content,
hit:2912_conv:5824,faithful,"['excited', 'content', 'grateful']",excited,
hit:3052_conv:6105,embarrassed,"['embarrassed', ' relieved', ' content']",embarrassed,1.0
hit:7927_conv:15854,surprised,"['grateful', 'excited', 'hopeful']",grateful,
hit:11428_conv:22857,confident,"['proud', ' grateful', ' disappointed']",proud,
hit:2654_conv:5309,disappointed,"['devastated', ' surprised', ' ashamed']",devastated,
hit:3024_conv:6048,lonely,"['sad', ' regretful', ' embarrassed']",sad,
hit:7561_conv:15123,disgusted,"['surprised', 'sad', 'proud']",surprised,
hit:2056_conv:4112,annoyed,"['angry', 'annoyed', 'sad']",angry,2.0
hit:2908_conv:5816,caring,"['caring', 'concerned', 'grateful']",caring,1.0
hit:5222_conv:10445,anxious,"['anxious', ' hopeful', ' excited']",anxious,1.0
hit:8223_conv:16446,guilty,"['worried', ' hopeful', ' anxious']",worried,
hit:9732_conv:19464,hopeful,"['hopeful', 'excited', 'anticipating']",hopeful,1.0
hit:1033_conv:2067,disgusted,"['excited', 'grateful', 'surprised']",excited,
hit:2908_conv:5816,caring,"['concerned', ' hopeful', ' anticipating']",concerned,
hit:6174_conv:12348,surprised,"['grateful', ' proud', ' impressed']",grateful,
hit:6398_conv:12796,terrified,"['anxious', 'surprised', 'annoyed']",anxious,
hit:6997_conv:13994,proud,"['proud', ' excited', ' hopeful']",proud,1.0
hit:5349_conv:10699,excited,"['excited', ' grateful', ' anticipating']",excited,1.0
hit:6244_conv:12489,excited,"['nervous', ' excited', ' hopeful']",nervous,2.0
hit:7204_conv:14409,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:7585_conv:15171,joyful,"['happy', 'surprised', 'amused']",happy,
hit:9224_conv:18449,afraid,"['anxious', ' afraid', ' worried']",anxious,2.0
hit:11752_conv:23504,anticipating,"['excited', ' hopeful', ' anticipating']",excited,3.0
hit:3989_conv:7978,grateful,"['grateful', ' hopeful', ' caring']",grateful,1.0
hit:473_conv:947,anticipating,"['excited', 'hopeful', 'happy']",excited,
hit:6244_conv:12489,excited,"['excited', ' hopeful', ' caring']",excited,1.0
hit:7246_conv:14493,prepared,"['excited', ' prepared', ' proud']",excited,2.0
hit:11752_conv:23504,anticipating,"['excited', 'hopeful', 'content']",excited,
hit:5241_conv:10482,content,"['excited', ' proud', ' hopeful']",excited,
hit:7140_conv:14280,jealous,"['angry', ' disappointed', ' jealous']",angry,3.0
hit:8209_conv:16418,excited,"['excited', ' hopeful', ' joyful']",excited,1.0
hit:9859_conv:19718,proud,"['proud', 'grateful', 'sad']",proud,1.0
hit:10624_conv:21249,hopeful,"['hopeful', 'content', 'surprised']",hopeful,1.0
hit:1873_conv:3746,confident,"['proud', 'excited', 'content']",proud,
hit:5434_conv:10869,excited,"['excited', 'anticipating', 'content']",excited,1.0
hit:7140_conv:14280,jealous,"['jealous', ' sad', ' sympathetic']",jealous,1.0
hit:9753_conv:19506,proud,"['proud', 'excited', 'content']",proud,1.0
hit:10541_conv:21083,caring,"['grateful', ' nostalgic', ' caring']",grateful,3.0
hit:1823_conv:3646,proud,"['proud', ' excited', ' hopeful']",proud,1.0
hit:5434_conv:10869,excited,"['excited', 'grateful', 'hopeful']",excited,1.0
hit:6060_conv:12120,nostalgic,"['nostalgic', 'hopeful', 'joyful']",nostalgic,1.0
hit:9318_conv:18636,embarrassed,"['embarrassed', ' surprised', ' anxious']",embarrassed,1.0
hit:1058_conv:2117,proud,"['excited', ' proud', ' surprised']",excited,2.0
hit:1709_conv:3419,confident,"['confident', 'hopeful', 'proud']",confident,1.0
hit:2005_conv:4010,trusting,"['worried', ' anxious', ' disappointed']",worried,
hit:4863_conv:9727,terrified,"['terrified', ' anxious', ' apprehensive']",terrified,1.0
hit:6789_conv:13579,anxious,"['anxious', 'afraid', 'nervous']",anxious,1.0
hit:2005_conv:4010,trusting,"['angry', ' grateful', ' trusting']",angry,3.0
hit:4737_conv:9475,jealous,"['disappointed', ' lonely', ' hopeful']",disappointed,
hit:6735_conv:13471,prepared,"['excited', 'hopeful', 'content']",excited,
hit:8365_conv:16731,surprised,"['surprised', 'awkward', 'grateful']",surprised,1.0
hit:897_conv:1795,excited,"['excited', ' proud', ' curious']",excited,1.0
hit:10724_conv:21448,nostalgic,"['nostalgic', 'excited', 'hopeful']",nostalgic,1.0
hit:29_conv:59,sad,"['disappointed', 'sad', 'hopeful']",disappointed,2.0
hit:4026_conv:8052,annoyed,"['annoyed', ' angry', ' sympathetic']",annoyed,1.0
hit:6970_conv:13941,surprised,"['surprised', ' shocked', ' amazed']",surprised,1.0
hit:897_conv:1795,excited,"['proud', ' content', ' confident']",proud,
hit:10724_conv:21448,nostalgic,"['excited', ' confident', ' hopeful']",excited,
hit:4049_conv:8098,excited,"['happy', ' grateful', ' surprised']",happy,
hit:5222_conv:10444,terrified,"['afraid', 'excited', 'hopeful']",afraid,
hit:5342_conv:10685,proud,"['proud', 'hopeful', 'content']",proud,1.0
hit:6809_conv:13619,sad,"['angry', 'sad', 'disappointed']",angry,2.0
hit:2803_conv:5606,confident,"['excited', ' hopeful', ' anxious']",excited,
hit:4049_conv:8098,excited,"['excited', ' hopeful', ' grateful']",excited,1.0
hit:4083_conv:8167,proud,"['excited', 'happy', 'proud']",excited,3.0
hit:9327_conv:18655,jealous,"['jealous', 'sad', 'disappointed']",jealous,1.0
hit:9996_conv:19993,grateful,"['excited', 'happy', 'surprised']",excited,
hit:4083_conv:8167,proud,"['proud', ' joyful', ' grateful']",proud,1.0
hit:4214_conv:8429,surprised,"['excited', ' proud', ' happy']",excited,
hit:6254_conv:12508,lonely,"['lonely', 'sad', 'grateful']",lonely,1.0
hit:7088_conv:14176,surprised,"['surprised', ' sad', ' disappointed']",surprised,1.0
hit:8110_conv:16220,jealous,"['jealous', 'envious', 'sad']",jealous,1.0
hit:2167_conv:4335,content,"['happy', ' excited', ' grateful']",happy,
hit:4937_conv:9875,disappointed,"['disappointed', 'frustrated', 'hopeful']",disappointed,1.0
hit:557_conv:1115,terrified,"['afraid', 'surprised', 'disgusted']",afraid,
hit:682_conv:1364,guilty,"['guilty', 'sad', 'anxious']",guilty,1.0
hit:8110_conv:16220,jealous,"['disappointed', ' apologetic', ' sad']",disappointed,
hit:10102_conv:20205,apprehensive,"['terrified', ' amused', ' nostalgic']",terrified,
hit:10416_conv:20833,faithful,"['angry', 'annoyed', 'surprised']",angry,
hit:5461_conv:10923,annoyed,"['angry', 'sad', 'disappointed']",angry,
hit:8666_conv:17333,anticipating,"['excited', 'hopeful', 'anticipating']",excited,3.0
hit:222_conv:444,excited,"['excited', 'surprised', 'grateful']",excited,1.0
hit:3791_conv:7583,prepared,"['excited', ' prepared', ' hopeful']",excited,2.0
hit:5188_conv:10376,impressed,"['excited', ' impressed', ' grateful']",excited,2.0
hit:7285_conv:14571,hopeful,"['excited', 'hopeful', 'joyful']",excited,2.0
hit:7959_conv:15918,embarrassed,"['embarrassed', ' surprised', ' disappointed']",embarrassed,1.0
hit:5188_conv:10376,impressed,"['disappointed', ' envious', ' resigned']",disappointed,
hit:5450_conv:10901,impressed,"['proud', 'excited', 'hopeful']",proud,
hit:6669_conv:13339,surprised,"['proud', ' grateful', ' joyful']",proud,
hit:6765_conv:13531,embarrassed,"['surprised', ' anxious', ' distracted']",surprised,
hit:916_conv:1833,terrified,"['afraid', 'surprised', 'anxious']",afraid,
hit:2923_conv:5847,grateful,"['excited', ' proud', ' grateful']",excited,3.0
hit:3985_conv:7971,hopeful,"['hopeful', ' optimistic', ' caring']",hopeful,1.0
hit:6406_conv:12813,disgusted,"['concerned', ' hopeful', ' relieved']",concerned,
hit:6765_conv:13531,embarrassed,"['surprised', 'embarrassed', 'anxious']",surprised,2.0
hit:9191_conv:18382,confident,"['excited', ' hopeful', ' grateful']",excited,
hit:11784_conv:23568,nostalgic,"['nostalgic', 'sentimental', 'sad']",nostalgic,1.0
hit:3985_conv:7971,hopeful,"['excited', ' hopeful', ' proud']",excited,2.0
hit:6102_conv:12205,surprised,"['surprised', ' proud', ' disappointed']",surprised,1.0
hit:6404_conv:12808,disappointed,"['disappointed', 'hopeful', 'excited']",disappointed,1.0
hit:65_conv:130,surprised,"['grateful', ' surprised', ' nostalgic']",grateful,2.0
hit:11784_conv:23568,nostalgic,"['excited', ' grateful', ' hopeful']",excited,
hit:2151_conv:4302,angry,"['angry', 'sad', 'disappointed']",angry,1.0
hit:4184_conv:8368,annoyed,"['annoyed', 'frustrated', 'irritated']",annoyed,1.0
hit:4343_conv:8687,joyful,"['excited', 'hopeful', 'grateful']",excited,
hit:925_conv:1851,terrified,"['terrified', ' hopeful', ' anxious']",terrified,1.0
hit:10992_conv:21984,angry,"['sad', ' upset', ' grateful']",sad,
hit:1372_conv:2744,afraid,"['afraid', 'embarrassed', 'sad']",afraid,1.0
hit:23_conv:46,disappointed,"['disappointed', ' frustrated', ' hopeful']",disappointed,1.0
hit:4184_conv:8368,annoyed,"['anxious', ' annoyed', ' hopeful']",anxious,2.0
hit:5209_conv:10419,furious,"['angry', 'surprised', 'disappointed']",angry,
hit:7833_conv:15666,content,"['happy', ' content', ' grateful']",happy,2.0
hit:1162_conv:2325,anxious,"['hopeful', ' anticipating', ' confident']",hopeful,
hit:12223_conv:24447,sentimental,"['excited', ' hopeful', ' grateful']",excited,
hit:1372_conv:2744,afraid,"['understanding', 'sad', 'grateful']",understanding,
hit:6194_conv:12388,confident,"['proud', ' excited', ' confident']",proud,3.0
hit:8502_conv:17005,confident,"['excited', 'proud', 'hopeful']",excited,
hit:1184_conv:2368,disappointed,"['angry', 'sad', 'disappointed']",angry,3.0
hit:12223_conv:24447,sentimental,"['grateful', 'excited', 'content']",grateful,
hit:6606_conv:13213,content,"['excited', ' hopeful', ' grateful']",excited,
hit:6720_conv:13441,sad,"['sad', 'embarrassed', 'angry']",sad,1.0
hit:7392_conv:14784,sentimental,"['sad', ' nostalgic', ' caring']",sad,
hit:3621_conv:7243,sad,"['sad', ' concerned', ' anxious']",sad,1.0
hit:5193_conv:10386,nostalgic,"['sad', ' nostalgic', ' grateful']",sad,2.0
hit:7392_conv:14784,sentimental,"['sad', ' hopeful', ' caring']",sad,
hit:7466_conv:14933,content,"['content', 'excited', 'hopeful']",content,1.0
hit:8906_conv:17813,anxious,"['annoyed', ' anxious', ' nervous']",annoyed,2.0
hit:1378_conv:2757,joyful,"['proud', 'excited', 'impressed']",proud,
hit:4237_conv:8474,nostalgic,"['nostalgic', ' joyful', ' content']",nostalgic,1.0
hit:4647_conv:9295,terrified,"['afraid', 'anxious', 'stressed']",afraid,
hit:5324_conv:10648,excited,"['happy', 'excited', 'content']",happy,2.0
hit:8906_conv:17813,anxious,"['excited', ' surprised', ' grateful']",excited,
hit:1378_conv:2757,joyful,"['proud', ' grateful', ' impressed']",proud,
hit:4413_conv:8826,prepared,"['proud', ' hopeful', ' grateful']",proud,
hit:5883_conv:11767,annoyed,"['sad', 'annoyed', 'pained']",sad,2.0
hit:702_conv:1405,sad,"['sad', 'lonely', 'anxious']",sad,1.0
hit:8596_conv:17192,anxious,"['hopeful', 'excited', 'grateful']",hopeful,
hit:9247_conv:18495,surprised,"['excited', 'hopeful', 'proud']",excited,
hit:1776_conv:3553,furious,"['sad', ' upset', ' concerned']",sad,
hit:19_conv:39,guilty,"['disgusted', 'guilty', 'terrified']",disgusted,2.0
hit:5883_conv:11767,annoyed,"['concerned', ' relieved', ' caring']",concerned,
hit:6353_conv:12706,embarrassed,"['embarrassed', ' regretful', ' anxious']",embarrassed,1.0
hit:88_conv:177,proud,"['excited', ' grateful', ' jealous']",excited,
hit:283_conv:567,surprised,"['surprised', 'excited', 'grateful']",surprised,1.0
hit:3810_conv:7620,annoyed,"['angry', 'annoyed', 'surprised']",angry,2.0
hit:6210_conv:12420,nostalgic,"['proud', 'hopeful', 'nostalgic']",proud,3.0
hit:6353_conv:12706,embarrassed,"['embarrassed', ' anxious', ' hopeful']",embarrassed,1.0
hit:7460_conv:14920,prepared,"['excited', ' grateful', ' content']",excited,
hit:1437_conv:2875,apprehensive,"['anxious', 'confident', 'guilty']",anxious,
hit:3053_conv:6107,grateful,"['grateful', ' relieved', ' surprised']",grateful,1.0
hit:3104_conv:6208,caring,"['proud', ' grateful', ' curious']",proud,
hit:3152_conv:6304,disgusted,"['disgusted', 'afraid', 'anxious']",disgusted,1.0
hit:3693_conv:7387,angry,"['angry', ' annoyed', ' relieved']",angry,1.0
hit:11944_conv:23888,faithful,"['proud', ' anxious', ' afraid']",proud,
hit:12238_conv:24476,trusting,"['embarrassed', 'disgusted', 'concerned']",embarrassed,
hit:3104_conv:6208,caring,"['nostalgic', ' hopeful', ' content']",nostalgic,
hit:4820_conv:9640,faithful,"['proud', ' faithful', ' content']",proud,2.0
hit:8669_conv:17338,joyful,"['proud', ' grateful', ' excited']",proud,
hit:317_conv:634,sentimental,"['angry', 'stressed', 'frustrated']",angry,
hit:5016_conv:10032,disgusted,"['disappointed', ' hopeful', ' angry']",disappointed,
hit:7377_conv:14754,trusting,"['hopeful', ' trusting', ' content']",hopeful,2.0
hit:8669_conv:17338,joyful,"['excited', ' joyful', ' impressed']",excited,2.0
hit:9143_conv:18286,guilty,"['sad', ' guilty', ' regretful']",sad,2.0
hit:9902_conv:19805,grateful,"['grateful', ' amused', ' embarrassed']",grateful,1.0
hit:12081_conv:24162,annoyed,"['angry', 'annoyed', 'frustrated']",angry,2.0
hit:6732_conv:13464,anxious,"['anxious', 'embarrassed', 'surprised']",anxious,1.0
hit:7324_conv:14648,annoyed,"['annoyed', ' proud', ' angry']",annoyed,1.0
hit:878_conv:1756,annoyed,"['annoyed', ' grateful', ' anxious']",annoyed,1.0
hit:9143_conv:18286,guilty,"['guilty', 'angry', 'sad']",guilty,1.0
hit:10964_conv:21928,apprehensive,"['excited', 'hopeful', 'grateful']",excited,
hit:12081_conv:24162,annoyed,"['angry', ' hopeful', ' grateful']",angry,
hit:1408_conv:2817,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:1696_conv:3393,lonely,"['anxious', ' worried', ' hopeful']",anxious,
hit:8425_conv:16850,caring,"['happy', ' excited', ' proud']",happy,
hit:12312_conv:24624,jealous,"['excited', ' impressed', ' nostalgic']",excited,
hit:1408_conv:2817,proud,"['proud', ' impressed', ' grateful']",proud,1.0
hit:1496_conv:2992,sad,"['sad', ' hopeful', ' caring']",sad,1.0
hit:3208_conv:6417,content,"['excited', ' relieved', ' sympathetic']",excited,
hit:545_conv:1090,embarrassed,"['angry', 'annoyed', 'embarrassed']",angry,3.0
hit:4798_conv:9597,trusting,"['disappointed', ' ashamed', ' trusting']",disappointed,3.0
hit:5373_conv:10747,annoyed,"['annoyed', 'frustrated', 'angry']",annoyed,1.0
hit:545_conv:1090,embarrassed,"['annoyed', 'disgusted', 'disappointed']",annoyed,
hit:6390_conv:12780,content,"['embarrassed', 'anxious', 'concerned']",embarrassed,
hit:6732_conv:13465,afraid,"['afraid', ' relieved', ' amused']",afraid,1.0
hit:3700_conv:7400,disappointed,"['surprised', ' disappointed', ' hopeful']",surprised,2.0
hit:4067_conv:8134,surprised,"['sad', ' disappointed', ' nostalgic']",sad,
hit:5373_conv:10747,annoyed,"['concerned', ' hopeful', ' sympathetic']",concerned,
hit:7265_conv:14530,anxious,"['devastated', 'sad', 'anxious']",devastated,3.0
